anio_siniestro_x,mes,rango_horario,participantes_siniestro,gravedad_siniestro,temperatura_media,es_fin_de_semana,lluvia_mm,velocidad_viento,humedad_relativa
2019,10,17.0,PEATON-AUTO,LEVE,18.0,1,,15.2,90.0
2020,12,19.0,SD-SD,LEVE,24.6,0,,14.5,66.0
2021,7,0.0,MOTO-OBJETO FIJO,GRAVE,,1,,,
2024,11,18.0,BICICLETA-AUTO,LEVE,23.1,0,0.0,16.8,30.0
2019,9,1.0,PEATON-AUTO,LEVE,13.6,0,,13.6,87.0
2023,4,11.0,BICICLETA-AUTO,LEVE,12.3,0,0.0,8.5,63.0
2023,1,15.0,BICICLETA-MOTO,LEVE,28.0,0,0.0,15.4,60.0
2019,3,14.0,MOTO-AUTO,LEVE,23.0,0,,22.5,81.0
2020,1,23.0,MOTO-AUTO,GRAVE,22.1,0,,27.5,75.0
2022,11,5.0,MOTO-AUTO,LEVE,24.2,0,0.0,15.7,71.0
2022,7,13.0,MOTO-AUTO,LEVE,10.6,0,0.0,27.0,62.0
2021,6,9.0,AUTO-OTRO,LEVE,7.2,1,0.0,3.5,69.0
2023,12,11.0,MOTO-AUTO,LEVE,25.4,0,2.7,14.2,79.0
2023,5,12.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,12.7,0,0.0,6.9,73.0
2022,1,22.0,SD-SD,LEVE,27.8,0,0.0,12.6,68.0
2021,10,8.0,MOTO-AUTO,LEVE,13.6,0,0.0,8.0,69.0
2021,4,18.0,MOTO-TRANSPORTE PUBLICO,GRAVE,25.0,0,0.0,12.2,73.0
2024,12,18.0,SD-SD,LEVE,21.4,0,0.0,10.7,43.0
2020,9,13.0,BICICLETA-AUTO,LEVE,18.0,0,,10.2,43.0
2024,12,19.0,MOTO-MOTO,LEVE,26.0,0,,11.5,41.0
2022,11,13.0,MOTO-AUTO,LEVE,20.8,0,0.0,13.1,59.0
2021,3,15.0,MOTO-AUTO,LEVE,25.6,1,0.0,7.0,44.0
2020,3,7.0,MOTO-MOTO,LEVE,22.5,1,,10.5,73.0
2019,12,14.0,TAXI-MOVIL,LEVE,24.4,0,,8.9,85.0
2019,7,12.0,MOTO-AUTO,LEVE,4.3,0,,0.4,79.0
2019,2,16.0,PEATON-AUTO,LEVE,21.3,0,,10.4,42.0
