total_victimas_siniestro,total_victimas_siniestro
1,1
1,1
1,1
4,4
9,9
1,1
1,1
1,1
2,2
1,1
3,3
2,2
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
2,2
2,2
2,2
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
26,26
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
5,5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,3
2,2
1,1
1,1
1,1
1,1
1,1
4,4
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
6,6
1,1
1,1
3,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
6,6
1,1
2,2
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
3,3
1,1
19,19
1,1
1,1
1,1
1,1
8,8
1,1
1,1
2,2
1,1
4,4
2,2
3,3
1,1
1,1
1,1
7,7
1,1
3,3
1,1
4,4
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
3,3
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
2,2
3,3
1,1
1,1
1,1
3,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
5,5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,3
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
5,5
2,2
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
2,2
3,3
1,1
1,1
1,1
1,1
1,1
1,1
6,6
1,1
1,1
2,2
1,1
2,2
2,2
1,1
1,1
1,1
3,3
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
1,1
